"RRA","species","prey"
0.001522201656616605,"Fejervarya multistriata","Amphipoda"
0.02423205744499932,"Fejervarya multistriata","Araneae"
0.004168112306978706,"Fejervarya multistriata","Blattodea"
6.572728346921897e-4,"Fejervarya multistriata","Calanoida"
0.07446233285048087,"Fejervarya multistriata","Coleoptera"
5.906616971239175e-4,"Fejervarya multistriata","Cyclopoida"
4.180001118669424e-4,"Fejervarya multistriata","Decapoda"
0.019319110768977892,"Fejervarya multistriata","Dermaptera"
7.112146601356442e-4,"Fejervarya multistriata","Diplostraca"
0.18755627839305072,"Fejervarya multistriata","Diptera"
0.009729615111621766,"Fejervarya multistriata","Entomobryomorpha"
0.001774276376160716,"Fejervarya multistriata","Geophilomorpha"
5.702884227667836e-4,"Fejervarya multistriata","Halocyprida"
0.1220270071604297,"Fejervarya multistriata","Hemiptera"
0.1475158433705154,"Fejervarya multistriata","Hymenoptera"
0.24554024258349968,"Fejervarya multistriata","Isopoda"
0.059112247128046885,"Fejervarya multistriata","Lepidoptera"
0.006754541472729269,"Fejervarya multistriata","Mesostigmata"
0.004526359368013477,"Fejervarya multistriata","Odonata"
0.011830028330363153,"Fejervarya multistriata","Orthoptera"
0.0029320155908212483,"Fejervarya multistriata","Phthiraptera"
0.00822112593882646,"Fejervarya multistriata","Podocopida"
0.003197272085204933,"Fejervarya multistriata","Poduromorpha"
0.0013469818214410817,"Fejervarya multistriata","Polydesmida"
0.009640294489459729,"Fejervarya multistriata","Pseudoscorpiones"
0.013426051389494511,"Fejervarya multistriata","Sarcoptiformes"
0.003220894848497671,"Fejervarya multistriata","Scolopendromorpha"
8.849165892415752e-4,"Fejervarya multistriata","Symphypleona"
0.017097615924013917,"Fejervarya multistriata","Thysanoptera"
2.3211234146224406e-4,"Fejervarya multistriata","Trichoptera"
0.016783026932467002,"Fejervarya multistriata","Trombidiformes"
0.0073745972410505884,"Pelophylax nigromaculatus","Amphipoda"
0.08886104863122761,"Pelophylax nigromaculatus","Araneae"
0.0031420524555536,"Pelophylax nigromaculatus","Blattodea"
0.0811399511727035,"Pelophylax nigromaculatus","Coleoptera"
0.030910855827862998,"Pelophylax nigromaculatus","Decapoda"
0.1196171013602661,"Pelophylax nigromaculatus","Diptera"
0.1174063442549977,"Pelophylax nigromaculatus","Hemiptera"
0.16972757924128756,"Pelophylax nigromaculatus","Hymenoptera"
0.1918412472367429,"Pelophylax nigromaculatus","Isopoda"
0.057813837405983025,"Pelophylax nigromaculatus","Lepidoptera"
0.012962790611131097,"Pelophylax nigromaculatus","Orthoptera"
0.0037865000408208588,"Pelophylax nigromaculatus","Phthiraptera"
0.025550320128079406,"Pelophylax nigromaculatus","Podocopida"
5.69914438819315e-4,"Pelophylax nigromaculatus","Poduromorpha"
0.02031223425376207,"Pelophylax nigromaculatus","Polydesmida"
0.021238349886627705,"Pelophylax nigromaculatus","Pseudoscorpiones"
0.026942933930304617,"Pelophylax nigromaculatus","Sarcoptiformes"
0.010054160178654665,"Pelophylax nigromaculatus","Thysanoptera"
0.0015857449221877555,"Pelophylax nigromaculatus","Trichoptera"
0.009162436781936924,"Pelophylax nigromaculatus","Trombidiformes"
4.4798641893803616e-4,"Microhyla fissipes","Amphipoda"
0.024906666059176883,"Microhyla fissipes","Araneae"
2.6350461133069827e-4,"Microhyla fissipes","Blattodea"
0.0011823924867403125,"Microhyla fissipes","Calanoida"
0.06264986120721827,"Microhyla fissipes","Coleoptera"
0.001132094092363824,"Microhyla fissipes","Decapoda"
0.011472228642777206,"Microhyla fissipes","Dermaptera"
0.005363514825877159,"Microhyla fissipes","Diplostraca"
0.16289269292998293,"Microhyla fissipes","Diptera"
0.00396315029826186,"Microhyla fissipes","Entomobryomorpha"
0.005402076509500967,"Microhyla fissipes","Halocyprida"
0.0929543441305064,"Microhyla fissipes","Hemiptera"
0.30099068921263994,"Microhyla fissipes","Hymenoptera"
0.1498277462566558,"Microhyla fissipes","Isopoda"
0.08181243643870434,"Microhyla fissipes","Lepidoptera"
2.2282186844426043e-4,"Microhyla fissipes","Mesostigmata"
4.689199834940165e-4,"Microhyla fissipes","Odonata"
0.02723964500774528,"Microhyla fissipes","Orthoptera"
0.010133507582094392,"Microhyla fissipes","Poduromorpha"
2.8623941667419914e-4,"Microhyla fissipes","Polydesmida"
0.005697766509742015,"Microhyla fissipes","Pseudoscorpiones"
0.019697090872154537,"Microhyla fissipes","Sarcoptiformes"
4.7208256577912117e-4,"Microhyla fissipes","Scolopendromorpha"
0.01862754444038943,"Microhyla fissipes","Thysanoptera"
0.011892997632808109,"Microhyla fissipes","Trombidiformes"
0.002310943090903554,"Rana zhenhaiensis","Amphipoda"
0.02604305635859335,"Rana zhenhaiensis","Araneae"
0.008857454014000881,"Rana zhenhaiensis","Coleoptera"
8.361514209954301e-4,"Rana zhenhaiensis","Dermaptera"
0.1485648443833018,"Rana zhenhaiensis","Diptera"
0.07449446970815354,"Rana zhenhaiensis","Hemiptera"
0.2045312784756874,"Rana zhenhaiensis","Hymenoptera"
0.4808970971352392,"Rana zhenhaiensis","Isopoda"
0.022388973738105798,"Rana zhenhaiensis","Lepidoptera"
0.00431515317567564,"Rana zhenhaiensis","Mesostigmata"
0.003759398496240602,"Rana zhenhaiensis","Orthoptera"
0.0014236785884511633,"Rana zhenhaiensis","Polydesmida"
6.091042008364564e-4,"Rana zhenhaiensis","Psocoptera"
9.452904433486266e-4,"Rana zhenhaiensis","Scolopendromorpha"
2.920493906765095e-4,"Rana zhenhaiensis","Symphypleona"
0.010395128819213317,"Rana zhenhaiensis","Thysanoptera"
0.004632593585173054,"Rana zhenhaiensis","Trichoptera"
0.004703334975403747,"Rana zhenhaiensis","Trombidiformes"
0.008354368969867878,"Bufo gargarizans","Araneae"
4.7098830417049726e-4,"Bufo gargarizans","Blattodea"
0.05480270143000016,"Bufo gargarizans","Coleoptera"
6.192255100552033e-5,"Bufo gargarizans","Decapoda"
0.010756920557125299,"Bufo gargarizans","Dermaptera"
0.06255738353097633,"Bufo gargarizans","Diptera"
0.14614174547181658,"Bufo gargarizans","Hemiptera"
0.2402968849474815,"Bufo gargarizans","Hymenoptera"
0.3646034398080696,"Bufo gargarizans","Isopoda"
0.04910065810079821,"Bufo gargarizans","Lepidoptera"
4.583865600814752e-4,"Bufo gargarizans","Mesostigmata"
0.0014016851335106586,"Bufo gargarizans","Odonata"
0.003508585764064789,"Bufo gargarizans","Orthoptera"
9.347524241552921e-4,"Bufo gargarizans","Podocopida"
0.010495568057371257,"Bufo gargarizans","Poduromorpha"
0.01625769732797097,"Bufo gargarizans","Polydesmida"
0.009652803741551672,"Bufo gargarizans","Sarcoptiformes"
3.303520105667252e-4,"Bufo gargarizans","Symphypleona"
0.013075851294943616,"Bufo gargarizans","Thysanoptera"
0.0048433646205326055,"Bufo gargarizans","Trichoptera"
0.001893939393939394,"Bufo gargarizans","Trombidiformes"
0.008871435995487826,"Pelophylax plancyi","Araneae"
0.19841243229517946,"Pelophylax plancyi","Coleoptera"
0.04052994225703656,"Pelophylax plancyi","Dermaptera"
0.03571428571428571,"Pelophylax plancyi","Diplostraca"
0.2647487576601365,"Pelophylax plancyi","Diptera"
0.0015807152736613313,"Pelophylax plancyi","Entomobryomorpha"
0.02217385012480377,"Pelophylax plancyi","Hemiptera"
0.11766770536822026,"Pelophylax plancyi","Hymenoptera"
0.10127511106443032,"Pelophylax plancyi","Isopoda"
0.030791542993605904,"Pelophylax plancyi","Lepidoptera"
0.001412429378531073,"Pelophylax plancyi","Podocopida"
8.4413494082947e-4,"Pelophylax plancyi","Pseudoscorpiones"
0.12292668696814861,"Pelophylax plancyi","Sarcoptiformes"
0.016003512879741406,"Pelophylax plancyi","Thysanoptera"
0.0015842160970062115,"Pelophylax plancyi","Trichoptera"
0.035463240988895584,"Pelophylax plancyi","Trombidiformes"
0.019610366323816093,"Lithobates catesbeianus","Araneae"
0.012449073894593808,"Lithobates catesbeianus","Coleoptera"
0.007092250631562083,"Lithobates catesbeianus","Decapoda"
