pond_code,species,prey_no,scaled.breadth,invasion
ZJJ_site157,Fejervarya_multistriata,20,0.3824 ,Y
ZJJ_site157,Pelophylax_nigromaculatus,11,0.2781 ,Y
ZJJ_site163,Fejervarya_multistriata,17,0.2072 ,N
ZJJ_site163,Microhyla_fissipes,13,0.1935 ,N
ZJJ_site159,Fejervarya_multistriata,20,0.5227 ,Y
ZJJ_site159,Microhyla_fissipes,8,0.2614 ,Y
CZ_site005,Fejervarya_multistriata,11,0.3182 ,N
CZ_site005,Rana_zhenhaiensis,5,0.2333 ,N
DS_site018,Bufo_gargarizans,8,0.1480 ,Y
DS_site018,Fejervarya_multistriata,23,0.1801 ,Y
FD_site047,Fejervarya_multistriata,25,0.3240 ,Y
FD_site047,Microhyla_fissipes,5,0.1578 ,Y
FD_site047,Pelophylax_nigromaculatus,5,0.1621 ,Y
FD_site049,Fejervarya_multistriata,12,0.2565 ,N
FD_site049,Microhyla_fissipes,3,0.0000 ,N
FD_site049,Pelophylax_nigromaculatus,3,0.1026 ,N
FD_site053,Fejervarya_multistriata,10,0.2095 ,Y
FD_site053,Pelophylax_nigromaculatus,13,0.3002 ,Y
FD_site053,Pelophylax_plancyi,10,0.1801 ,Y
LH_site068,Fejervarya_multistriata,13,0.2681 ,Y
LH_site068,Lithobates_catesbeianus,10,0.1812 ,Y
LH_site068,Microhyla_fissipes,12,0.2360 ,Y
LH_site073,Fejervarya_multistriata,10,0.1697 ,Y
LH_site073,Pelophylax_nigromaculatus,13,0.1795 ,Y
LH_site076,Fejervarya_multistriata,18,0.4134 ,Y
LH_site076,Lithobates_catesbeianus,13,0.2953 ,Y
LH_site076,Microhyla_fissipes,6,0.1392 ,Y
LH_site067,Fejervarya_multistriata,9,0.0940 ,Y
LH_site067,Microhyla_fissipes,8,0.0925 ,Y
LH_site067,Pelophylax_plancyi,3,0.1015 ,Y
LH_site074,Fejervarya_multistriata,15,0.2366 ,Y
LH_site074,Lithobates_catesbeianus,4,0.0371 ,Y
LH_site074,Pelophylax_nigromaculatus,14,0.2184 ,Y
LH_site074,Pelophylax_plancyi,17,0.2493 ,Y
MY_site080,Fejervarya_multistriata,9,0.2593 ,N
